,0
0,https://www.douyin.com/video/7182094961414835512
1,https://www.douyin.com/video/7158377961647885604
2,https://www.douyin.com/video/7127568597395787021
3,https://www.douyin.com/video/7211057659334724921
4,https://www.douyin.com/video/7207823982949567803
5,https://www.douyin.com/video/7206149849245420861
6,https://www.douyin.com/video/7200768640952651008
7,https://www.douyin.com/video/7198459924890799415
8,https://www.douyin.com/video/7197054545028009253
9,https://www.douyin.com/video/7195073675039657275
10,https://www.douyin.com/video/7191428840952991034
11,https://www.douyin.com/video/7188693810803723576
12,https://www.douyin.com/video/7186110068260179256
13,https://www.douyin.com/video/7177627719641926949
14,https://www.douyin.com/video/7174695090928078137
15,https://www.douyin.com/video/7170986919491357988
16,https://www.douyin.com/video/7166620391606062349
17,https://www.douyin.com/video/7163920519891406094
18,https://www.douyin.com/video/7160592344931241252
19,https://www.douyin.com/video/7156131953186524447
20,https://www.douyin.com/video/7153894159831649566
21,https://www.douyin.com/video/7151679382883470606
22,https://www.douyin.com/video/7149107836973239589
23,https://www.douyin.com/video/7147566165164920072
24,https://www.douyin.com/video/7144729675305176356
25,https://www.douyin.com/video/7141657099099966756
26,https://www.douyin.com/video/7139855273052720421
27,https://www.douyin.com/video/7138050221342297377
28,https://www.douyin.com/video/7135750193118530852
29,https://www.douyin.com/video/7134169479646399751
30,https://www.douyin.com/video/7131190249367063838
31,https://www.douyin.com/video/7129327049147190542
32,https://www.douyin.com/video/7124562985133083917
33,https://www.douyin.com/video/7122285639038520589
34,https://www.douyin.com/video/7118320253569879326
35,https://www.douyin.com/video/7116776390254529828
36,https://www.douyin.com/video/7112733799879937288
37,https://www.douyin.com/video/7109779909664328973
38,https://www.douyin.com/video/7107138477413698852
39,https://www.douyin.com/video/7104814899515133192
40,https://www.douyin.com/video/7102282486754921742
41,https://www.douyin.com/video/7098254158762937613
42,https://www.douyin.com/video/7096408062726114574
43,https://www.douyin.com/video/7095217578410364173
44,https://www.douyin.com/video/7094525716104088846
45,https://www.douyin.com/video/7092318836036357413
46,https://www.douyin.com/video/7090113503645682958
47,https://www.douyin.com/video/7086726064168373517
48,https://www.douyin.com/video/7082297614682557726
49,https://www.douyin.com/video/7079726205548694798
